Student_ID,Name,Gender,Age,Education_Level,Employment_Status,Device_Type,Internet_Connection_Quality,Enrollment_Date,Payment_Mode,ZAge Group
"STU154466","Vivaan Shah","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-10 00:00:00.000,"UPI","25-29"
"STU154653","Vivaan Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-22 00:00:00.000,"UPI","25-29"
"STU157369","Nikhil Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-17 00:00:00.000,"UPI","25-29"
"STU159076","Ritika Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-23 00:00:00.000,"UPI","25-29"
"STU159264","Ananya Nair","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-01 00:00:00.000,"UPI","25-29"
"STU159628","Arjun Patel","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-27 00:00:00.000,"UPI","25-29"
"STU163497","Arjun Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-04 00:00:00.000,"UPI","25-29"
"STU164912","Sai Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-10 00:00:00.000,"UPI","25-29"
"STU165700","Aditya Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-13 00:00:00.000,"UPI","25-29"
"STU166014","Arjun Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-05 00:00:00.000,"UPI","25-29"
"STU167633","Ritika Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-30 00:00:00.000,"UPI","25-29"
"STU167694","Ritika Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-17 00:00:00.000,"UPI","25-29"
"STU167925","Rahul Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-26 00:00:00.000,"UPI","25-29"
"STU169003","Isha Singh","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-08 00:00:00.000,"UPI","25-29"
"STU169877","Rohan Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-05 00:00:00.000,"UPI","25-29"
"STU173166","Aditya Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-24 00:00:00.000,"UPI","25-29"
"STU173762","Rohan Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-09 00:00:00.000,"UPI","25-29"
"STU174271","Pooja Shah","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-10 00:00:00.000,"UPI","25-29"
"STU176314","Aarav Singh","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-23 00:00:00.000,"UPI","25-29"
"STU176792","Ananya Bose","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-02 00:00:00.000,"UPI","25-29"
"STU179590","Vihaan Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-11 00:00:00.000,"UPI","25-29"
"STU180650","Priya Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-19 00:00:00.000,"UPI","25-29"
"STU180763","Meera Shah","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-03 00:00:00.000,"UPI","25-29"
"STU181402","Aditya Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-13 00:00:00.000,"UPI","25-29"
"STU184803","Arjun Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-17 00:00:00.000,"UPI","25-29"
"STU185846","Meera Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-08 00:00:00.000,"UPI","25-29"
"STU187270","Aditya Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-30 00:00:00.000,"UPI","25-29"
"STU189932","Rohan Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-10-05 00:00:00.000,"UPI","25-29"
"STU190856","Ananya Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-04 00:00:00.000,"UPI","25-29"
"STU193084","Krishna Nair","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-23 00:00:00.000,"UPI","25-29"
"STU197272","Vihaan Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-06-11 00:00:00.000,"UPI","25-29"
"STU100246","Kavya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-29 00:00:00.000,"NetBanking","25-29"
"STU101275","Sakshi Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-28 00:00:00.000,"Debit Card","25-29"
"STU102040","Sakshi Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-25 00:00:00.000,"NetBanking","25-29"
"STU102047","Sneha Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-02 00:00:00.000,"Credit Card","25-29"
"STU102381","Vivaan Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-02-27 00:00:00.000,"Scholarship","25-29"
"STU102451","Krishna Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-24 00:00:00.000,"Free","25-29"
"STU103931","Ritika Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-10 00:00:00.000,"Scholarship","25-29"
"STU104006","Neha Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-11 00:00:00.000,"Credit Card","25-29"
"STU104662","Aarav Singh","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-03 00:00:00.000,"Credit Card","25-29"
"STU104777","Meera Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-22 00:00:00.000,"Credit Card","25-29"
"STU104845","Vihaan Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-13 00:00:00.000,"NetBanking","25-29"
"STU105179","Aditya Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-25 00:00:00.000,"NetBanking","25-29"
"STU105540","Ananya Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-22 00:00:00.000,"Credit Card","25-29"
"STU105567","Pooja Nair","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-07 00:00:00.000,"Credit Card","25-29"
"STU106164","Meera Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-13 00:00:00.000,"Scholarship","25-29"
"STU107143","Ritika Bose","Female",27,"Bachelor","Student","Mobile","Medium",2023-10-18 00:00:00.000,"Free","25-29"
"STU109278","Kavya Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-01 00:00:00.000,"Scholarship","25-29"
"STU109514","Vivaan Bose","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-23 00:00:00.000,"Credit Card","25-29"
"STU113145","Vihaan Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-20 00:00:00.000,"Credit Card","25-29"
"STU113999","Priya Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-05 00:00:00.000,"NetBanking","25-29"
"STU115282","Krishna Shah","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-09 00:00:00.000,"Debit Card","25-29"
"STU115886","Sneha Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-08 00:00:00.000,"Free","25-29"
"STU116892","Krishna Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-15 00:00:00.000,"Debit Card","25-29"
"STU116933","Vivaan Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-25 00:00:00.000,"Free","25-29"
"STU117188","Sakshi Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-29 00:00:00.000,"Debit Card","25-29"
"STU117251","Ritika Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-01 00:00:00.000,"Credit Card","25-29"
"STU118361","Ananya Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-01 00:00:00.000,"Debit Card","25-29"
"STU118788","Priya Singh","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-23 00:00:00.000,"Debit Card","25-29"
"STU118928","Sai Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-24 00:00:00.000,"Free","25-29"
"STU119524","Nikhil Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-10-15 00:00:00.000,"Free","25-29"
"STU119627","Meera Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-10-17 00:00:00.000,"Debit Card","25-29"
"STU120757","Vihaan Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-31 00:00:00.000,"NetBanking","25-29"
"STU120786","Aarav Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-17 00:00:00.000,"Free","25-29"
"STU120990","Pooja Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-28 00:00:00.000,"Free","25-29"
"STU121618","Pooja Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-30 00:00:00.000,"Free","25-29"
"STU122814","Vivaan Patel","Female",27,"Bachelor","Student","Mobile","Medium",2025-02-15 00:00:00.000,"Scholarship","25-29"
"STU123090","Vihaan Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-05-26 00:00:00.000,"Scholarship","25-29"
"STU123934","Aarav Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-16 00:00:00.000,"Scholarship","25-29"
"STU124103","Aarav Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-14 00:00:00.000,"Credit Card","25-29"
"STU124772","Rahul Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-29 00:00:00.000,"Scholarship","25-29"
"STU125887","Pooja Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-10-22 00:00:00.000,"Credit Card","25-29"
"STU126803","Kavya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-07-16 00:00:00.000,"Free","25-29"
"STU127866","Vivaan Patel","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-21 00:00:00.000,"Credit Card","25-29"
"STU128955","Aarav Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-29 00:00:00.000,"Credit Card","25-29"
"STU129359","Rohan Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-25 00:00:00.000,"Free","25-29"
"STU130405","Pooja Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-18 00:00:00.000,"NetBanking","25-29"
"STU130449","Ananya Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2025-03-21 00:00:00.000,"Debit Card","25-29"
"STU130782","Ritika Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-10-29 00:00:00.000,"Free","25-29"
"STU131844","Aarav Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-02 00:00:00.000,"Free","25-29"
"STU131864","Krishna Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-29 00:00:00.000,"Credit Card","25-29"
"STU131879","Ananya Verma","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-07 00:00:00.000,"Credit Card","25-29"
"STU132725","Isha Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-25 00:00:00.000,"Debit Card","25-29"
"STU133160","Sakshi Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-13 00:00:00.000,"Scholarship","25-29"
"STU133565","Krishna Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-23 00:00:00.000,"Credit Card","25-29"
"STU133591","Krishna Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-07 00:00:00.000,"Debit Card","25-29"
"STU133642","Nikhil Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-16 00:00:00.000,"Free","25-29"
"STU133855","Aarav Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-22 00:00:00.000,"Credit Card","25-29"
"STU134014","Isha Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-10-29 00:00:00.000,"Free","25-29"
"STU134859","Sai Desai","Female",27,"Bachelor","Student","Mobile","Medium",2025-02-06 00:00:00.000,"Scholarship","25-29"
"STU135993","Neha Shah","Female",27,"Bachelor","Student","Mobile","Medium",2025-10-04 00:00:00.000,"NetBanking","25-29"
"STU136942","Sai Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-28 00:00:00.000,"Scholarship","25-29"
"STU137237","Aarav Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-01 00:00:00.000,"Debit Card","25-29"
"STU137482","Vihaan Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-18 00:00:00.000,"Scholarship","25-29"
"STU137979","Rahul Patel","Female",27,"Bachelor","Student","Mobile","Medium",2025-05-11 00:00:00.000,"Free","25-29"
"STU138097","Arjun Nair","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-23 00:00:00.000,"Credit Card","25-29"
"STU138353","Nikhil Bose","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-30 00:00:00.000,"Debit Card","25-29"
"STU139262","Rohan Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-14 00:00:00.000,"Debit Card","25-29"
"STU139396","Isha Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-14 00:00:00.000,"NetBanking","25-29"
"STU139416","Rahul Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-02 00:00:00.000,"Credit Card","25-29"
"STU139588","Rahul Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-29 00:00:00.000,"NetBanking","25-29"
"STU141235","Neha Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-21 00:00:00.000,"Free","25-29"
"STU141264","Rohan Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2025-02-24 00:00:00.000,"Credit Card","25-29"
"STU141409","Krishna Patel","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-16 00:00:00.000,"Scholarship","25-29"
"STU142313","Aarav Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-17 00:00:00.000,"Scholarship","25-29"
"STU142830","Rahul Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-29 00:00:00.000,"Free","25-29"
"STU142946","Aarav Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-17 00:00:00.000,"NetBanking","25-29"
"STU143219","Nikhil Shah","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-29 00:00:00.000,"Debit Card","25-29"
"STU143743","Priya Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-02 00:00:00.000,"Free","25-29"
"STU144532","Rahul Bose","Female",27,"Bachelor","Student","Mobile","Medium",2023-11-26 00:00:00.000,"Free","25-29"
"STU144839","Rohan Bose","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-28 00:00:00.000,"Credit Card","25-29"
"STU145115","Kavya Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-05 00:00:00.000,"Free","25-29"
"STU145611","Priya Bose","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-10 00:00:00.000,"Credit Card","25-29"
"STU145715","Pooja Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-27 00:00:00.000,"Scholarship","25-29"
"STU147101","Sneha Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-19 00:00:00.000,"Debit Card","25-29"
"STU147145","Sneha Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-09-22 00:00:00.000,"Scholarship","25-29"
"STU147159","Krishna Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-15 00:00:00.000,"Scholarship","25-29"
"STU147808","Sneha Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-01 00:00:00.000,"Credit Card","25-29"
"STU148555","Kavya Shah","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-27 00:00:00.000,"Free","25-29"
"STU149330","Kavya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-23 00:00:00.000,"Free","25-29"
"STU149803","Isha Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-05 00:00:00.000,"Free","25-29"
"STU150262","Pooja Bose","Female",27,"Bachelor","Student","Mobile","Medium",2023-10-31 00:00:00.000,"Free","25-29"
"STU150345","Ritika Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-06-20 00:00:00.000,"Free","25-29"
"STU151291","Meera Nair","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-14 00:00:00.000,"Debit Card","25-29"
"STU151464","Ritika Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-02-15 00:00:00.000,"Free","25-29"
"STU151717","Ananya Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-05 00:00:00.000,"Free","25-29"
"STU152574","Kavya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-03-26 00:00:00.000,"NetBanking","25-29"
"STU152844","Pooja Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2025-06-25 00:00:00.000,"Debit Card","25-29"
"STU153803","Priya Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-17 00:00:00.000,"Free","25-29"
"STU154094","Priya Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-09 00:00:00.000,"Debit Card","25-29"
"STU154177","Neha Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-28 00:00:00.000,"Debit Card","25-29"
"STU154490","Ananya Gupta","Female",27,"Bachelor","Student","Mobile","Medium",2024-03-14 00:00:00.000,"Scholarship","25-29"
"STU154719","Neha Singh","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-02 00:00:00.000,"Free","25-29"
"STU155306","Kavya Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-08 00:00:00.000,"Free","25-29"
"STU155668","Isha Reddy","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-15 00:00:00.000,"Free","25-29"
"STU155764","Krishna Verma","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-18 00:00:00.000,"NetBanking","25-29"
"STU156514","Aditya Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-03-10 00:00:00.000,"Debit Card","25-29"
"STU156636","Arjun Shah","Female",27,"Bachelor","Student","Mobile","Medium",2025-06-06 00:00:00.000,"Scholarship","25-29"
"STU157917","Rohan Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-05-27 00:00:00.000,"Credit Card","25-29"
"STU158028","Aarav Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-12 00:00:00.000,"Free","25-29"
"STU158398","Sai Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-15 00:00:00.000,"Scholarship","25-29"
"STU158620","Neha Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-04 00:00:00.000,"Scholarship","25-29"
"STU158840","Pooja Sharma","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-09 00:00:00.000,"Debit Card","25-29"
"STU159588","Aarav Desai","Female",27,"Bachelor","Student","Mobile","Medium",2024-01-28 00:00:00.000,"NetBanking","25-29"
"STU160118","Neha Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-15 00:00:00.000,"Free","25-29"
"STU160710","Meera Joshi","Female",27,"Bachelor","Student","Mobile","Medium",2025-09-29 00:00:00.000,"NetBanking","25-29"
"STU161421","Neha Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-24 00:00:00.000,"Scholarship","25-29"
"STU162445","Rahul Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-11-08 00:00:00.000,"Credit Card","25-29"
"STU164007","Krishna Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2025-02-03 00:00:00.000,"Credit Card","25-29"
"STU164482","Rohan Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-15 00:00:00.000,"Free","25-29"
"STU166699","Sakshi Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-10-05 00:00:00.000,"Debit Card","25-29"
"STU168232","Ananya Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-01-13 00:00:00.000,"NetBanking","25-29"
"STU168270","Ananya Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2023-12-15 00:00:00.000,"Credit Card","25-29"
"STU168556","Nikhil Iyer","Female",27,"Bachelor","Student","Mobile","Medium",2025-07-01 00:00:00.000,"Debit Card","25-29"
"STU169350","Aarav Shah","Female",27,"Bachelor","Student","Mobile","Medium",2024-02-17 00:00:00.000,"Debit Card","25-29"
"STU170375","Aditya Nair","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-05 00:00:00.000,"Credit Card","25-29"
"STU171212","Sakshi Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2025-05-27 00:00:00.000,"Scholarship","25-29"
"STU172301","Krishna Mehta","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-06 00:00:00.000,"Credit Card","25-29"
"STU173286","Nikhil Verma","Female",27,"Bachelor","Student","Mobile","Medium",2025-08-30 00:00:00.000,"Free","25-29"
"STU173577","Priya Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2024-03-02 00:00:00.000,"NetBanking","25-29"
"STU174050","Rahul Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-30 00:00:00.000,"Debit Card","25-29"
"STU174088","Sakshi Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-18 00:00:00.000,"Debit Card","25-29"
"STU174531","Vihaan Patel","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-22 00:00:00.000,"Free","25-29"
"STU175250","Vihaan Kumar","Female",27,"Bachelor","Student","Mobile","Medium",2024-12-19 00:00:00.000,"Free","25-29"
"STU176492","Ananya Shah","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-15 00:00:00.000,"Free","25-29"
"STU177175","Vivaan Singh","Female",27,"Bachelor","Student","Mobile","Medium",2024-08-21 00:00:00.000,"Free","25-29"
"STU177384","Rahul Shah","Female",27,"Bachelor","Student","Mobile","Medium",2024-04-08 00:00:00.000,"NetBanking","25-29"
"STU178307","Isha Bhardwaj","Female",27,"Bachelor","Student","Mobile","Medium",2025-05-28 00:00:00.000,"Scholarship","25-29"
"STU178675","Vihaan Patel","Female",27,"Bachelor","Student","Mobile","Medium",2025-04-05 00:00:00.000,"Free","25-29"
